GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG003129,72,WAG002895,44,21,.27229665071770337,105.06572763788743
WAG002178,72,WAG002164,56,19,.20730668414154652,86.71240939818927
WAG002302,29,WAG002985,44,8,.1536339522546419,38.93652563739312
WAG003305,103,WAG002821,33,12,.15014662756598246,51.09315500919829
WAG003305,103,WAG003186,67,23,.19382678444512136,96.2227169802703
WAG002050,33,WAG002146,76,11,.1564625850340136,49.284882525435364
WAG002320,100,WAG002767,97,49,.3658957926999165,237.17986677690737
WAG002023,289,WAG002068,181,79,.2489296463240593,270.8669998778488
WAG002765,190,WAG002107,114,49,.2396904024767802,187.80053557244068
WAG002139,55,WAG002596,246,27,.17701393497013934,99.89817600046808
WAG002088,28,WAG002087,235,25,.26260504201680673,118.5793931043925
WAG002819,73,WAG002539,51,16,.1812636165577342,71.15014659955813
WAG003247,263,WAG002442,135,49,.18491350949803675,159.61988853397816
WAG002819,73,WAG003002,114,21,.1587390658524509,81.04451296326134
WAG002365,49,WAG002879,163,25,.2089926879842846,104.7352147128404
WAG002257,125,WAG002500,144,55,.29360747663551395,231.65094234388005
WAG003076,33,WAG002724,18,6,.17333333333333334,32.5221785774402
WAG002847,11,WAG002124,71,7,.201939393939394,37.98660205132751
WAG003049,84,WAG002879,163,30,.18202764976958524,112.0762026860166
WAG002837,72,WAG002801,63,38,.4340369824905908,207.55161049377602
WAG002841,89,WAG003305,103,23,.1605611329033974,88.57173688487933
WAG002412,93,WAG002932,85,49,.4191700866393069,251.31780409263183
WAG003196,107,WAG002625,18,11,.1994152046783626,53.98555559478197
WAG002473,65,WAG002442,135,49,.4103718797758533,248.7253750568782
WAG002105,120,WAG002469,61,45,.41224686595949855,232.43582761560558
WAG002805,341,WAG003001,96,54,.22529373368146216,192.08252147691402
WAG002158,47,WAG002172,66,16,.20004386926957668,74.51897550361191
WAG002233,182,WAG002483,185,69,.2610590751530349,259.3943347027016
WAG002103,218,WAG002765,190,51,.1679699248120301,158.7213578044632
WAG002626,45,WAG002206,40,13,.2094444444444445,65.39725245693249
WAG002239,145,WAG002275,50,28,.2461317365269461,124.63653643932895
WAG002983,46,WAG003005,152,21,.1862196020633751,86.40256411028885
WAG002202,20,WAG003215,107,13,.2212280701754386,64.92241527004217
WAG002392,59,WAG002172,66,16,.1716684807961437,70.24573477035813
WAG002525,22,WAG003202,25,8,.23682983682983685,46.617841978186114
WAG003263,23,WAG003110,120,23,.3533333333333334,133.01871068240143
WAG002868,108,WAG002302,29,13,.1735261401557286,58.04386739785184
WAG002023,289,WAG002057,127,50,.1880297749666537,162.82190090514064
WAG002437,67,WAG002203,23,16,.31210340775558165,89.84129405824089
WAG002300,107,WAG002769,88,52,.40909090909090906,259.6212152729329
WAG003002,114,WAG002879,163,40,.20519653564290471,149.32125198979043
WAG002929,23,WAG002837,72,11,.20041407867494826,54.86813727364108
WAG002161,83,WAG003007,75,29,.25717829457364344,133.52859590841194
WAG002498,58,WAG002434,234,45,.3009214016473545,201.59496896628482
WAG003280,92,WAG003212,430,48,.18536048431480467,153.63151276171038
WAG002365,49,WAG002185,65,18,.22346938775510208,85.93702894113045
WAG002257,125,WAG002781,233,55,.2332145214521452,200.36397306301998
WAG002900,32,WAG003265,150,16,.1771084337349398,68.07364412448351
WAG002304,83,WAG002268,41,15,.18326247482658314,67.33554331916127
WAG002419,101,WAG002469,61,45,.4552332912988651,242.347487403246
WAG002052,64,WAG002281,81,41,.4435096153846154,222.13078567174918
WAG002052,64,WAG002285,75,44,.5080263157894738,249.4991413622023
WAG002335,38,WAG003080,33,8,.15007215007215008,39.05000777606671
WAG002178,72,WAG002769,88,21,.17919664268585134,87.4126962694968
WAG002765,190,WAG002300,107,51,.2611807613403237,202.6341618147545
WAG002143,76,WAG002158,47,21,.25406758448060074,101.91769400194583
WAG002985,44,WAG002302,29,8,.1536339522546419,38.93652563746321
WAG002412,93,WAG002107,114,52,.3802150537634408,250.97115177892243
WAG003283,92,WAG003297,23,12,.1975517095821022,58.072426979985856
WAG002395,34,WAG002142,66,12,.17967914438502675,56.375901005351295
WAG002645,132,WAG003049,84,27,.1785714285714286,103.58805750299757
WAG002840,155,WAG002431,33,16,.17138830162085975,66.86422786670836
WAG002505,132,WAG003263,23,18,.2616312281815297,91.42967845697159
WAG002879,163,WAG002079,77,35,.22749445676274946,141.6995404447719
WAG002928,60,WAG002121,90,31,.31173669467787113,151.80754333246932
WAG002932,85,WAG002281,81,46,.42024691358024696,239.66402333893302
WAG003116,22,WAG002939,33,7,.18030303030303035,37.483494949028064
WAG002221,106,WAG002139,55,22,.20661870503597124,95.42912484937864
WAG002666,40,WAG002607,19,7,.1813765182186235,37.229498252025884
WAG002793,22,WAG003223,87,10,.1717171717171717,47.25566508749921
WAG002647,13,WAG003306,18,6,.2843076923076924,38.9853109012945
WAG002781,233,WAG002717,135,50,.19986023759608665,170.85216363888253
WAG002889,72,WAG002290,85,49,.4990740740740741,270.3252629850096
WAG002023,289,WAG002052,64,43,.24534274193548386,171.84866936605954
WAG003276,105,WAG002437,67,22,.18300497512437813,90.34904064511228
WAG002143,76,WAG002162,110,23,.1734097513722958,91.08848761977129
WAG002762,267,WAG002310,127,55,.21640768355283024,190.85743573241538
WAG003005,152,WAG002792,43,21,.1942261427425822,88.2784837031345
