GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002158,47,WAG002172,66,16,.20004386926957668,74.51897550361191
WAG002161,83,WAG003007,75,29,.25717829457364344,133.52859590841194
WAG002161,83,WAG002859,18,8,.15770609318996415,38.11707714300769
WAG002395,34,WAG002142,66,12,.17967914438502675,56.375901005351295
WAG003247,263,WAG002442,135,49,.18491350949803675,159.61988853397816
WAG002225,23,WAG002618,60,13,.26161490683229816,70.38745652087238
WAG002980,8,WAG002094,65,6,.22164179104477616,34.70129453372533
WAG003008,68,WAG003302,20,9,.18113924050632912,44.82227687028443
WAG003305,103,WAG002870,63,26,.2311111111111111,114.90912346870846
WAG003305,103,WAG002821,33,12,.15014662756598246,51.09315500919829
WAG003305,103,WAG003186,67,23,.19382678444512136,96.2227169802703
WAG002139,55,WAG002596,246,27,.17701393497013934,99.89817600046808
WAG002645,132,WAG003049,84,27,.1785714285714286,103.58805750299757
WAG002115,17,WAG002534,27,5,.16138763197586725,27.55658105625957
WAG002143,76,WAG002158,47,21,.25406758448060074,101.91769400194583
WAG002365,49,WAG002879,163,25,.2089926879842846,104.7352147128404
WAG002365,49,WAG002185,65,18,.22346938775510208,85.93702894113045
WAG002983,46,WAG003005,152,21,.1862196020633751,86.40256411028885
WAG002202,20,WAG003215,107,13,.2212280701754386,64.92241527004217
WAG002233,182,WAG002483,185,69,.2610590751530349,259.3943347027016
WAG003049,84,WAG002879,163,30,.18202764976958524,112.0762026860166
WAG002335,38,WAG003080,33,8,.15007215007215008,39.05000777606671
WAG002837,72,WAG002859,18,8,.16693766937669374,39.30649970540063
WAG002837,72,WAG002801,63,38,.4340369824905908,207.55161049377602
WAG003076,33,WAG002724,18,6,.17333333333333334,32.5221785774402
WAG002236,10,WAG003098,25,5,.2333333333333333,31.171245976720773
WAG002615,31,WAG002270,11,4,.1569377990430622,22.564294992855448
WAG002174,44,WAG002873,18,7,.1795959595959596,36.968856449916245
WAG002525,22,WAG003202,25,8,.23682983682983685,46.617841978186114
WAG002841,89,WAG003305,103,23,.1605611329033974,88.57173688487933
WAG002929,23,WAG002837,72,11,.20041407867494826,54.86813727364108
WAG002805,341,WAG003001,96,54,.22529373368146216,192.08252147691402
WAG002178,72,WAG002164,56,19,.20730668414154652,86.71240939818927
WAG002430,58,WAG002780,53,13,.15517905275317675,57.410005296482275
WAG003280,92,WAG003100,16,12,.2500000000000001,64.66712304830722
WAG003280,92,WAG003212,430,48,.18536048431480467,153.63151276171038
WAG002819,73,WAG003002,114,21,.1587390658524509,81.04451296326134
WAG003283,92,WAG003297,23,12,.1975517095821022,58.072426979985856
WAG002023,289,WAG002057,127,50,.1880297749666537,162.82190090514064
WAG002023,289,WAG002068,181,79,.2489296463240593,270.8669998778488
WAG002392,59,WAG002172,66,16,.1716684807961437,70.24573477035813
WAG002626,45,WAG002206,40,13,.2094444444444445,65.39725245693249
WAG002938,9,WAG002613,28,7,.3422222222222222,47.22003506740657
WAG002938,9,WAG002998,74,7,.2292397660818713,39.89626522437538
WAG002938,9,WAG002094,65,6,.20392156862745106,33.604352758010066
WAG003002,114,WAG002879,163,40,.20519653564290471,149.32125198979043
WAG003196,107,WAG002625,18,11,.1994152046783626,53.98555559478197
WAG002186,144,WAG002145,42,17,.16142575373344606,68.36369342453213
WAG002393,199,WAG002146,76,29,.1706247325631151,104.41687709970722
WAG002544,43,WAG003084,42,15,.24285714285714285,78.15837879885208
WAG002683,29,WAG003005,152,23,.2750763858577041,114.03184062924652
WAG002821,33,WAG003302,20,9,.2536363636363637,51.96424584640491
WAG003005,152,WAG002792,43,21,.1942261427425822,88.2784837031345
WAG003093,13,WAG002870,63,6,.1608791208791209,30.788993976649863
WAG003093,13,WAG002172,66,7,.18547008547008548,36.875829312822816
WAG001982,40,WAG002837,72,15,.1987113402061856,70.13544407159543
WAG002161,83,WAG002805,341,43,.19390317174208646,147.6173913645944
WAG002221,106,WAG002139,55,22,.20661870503597124,95.42912484937864
WAG002941,25,WAG003008,68,12,.21451851851851853,60.629559567875106
WAG002225,23,WAG003005,152,13,.1772410091250671,57.45639546245071
WAG003100,16,WAG002186,144,9,.16018211920529798,40.46665860672453
WAG003305,103,WAG002229,28,12,.16638655462184876,53.53670344733752
WAG003305,103,WAG002939,33,21,.2733596837944664,105.13261605892264
WAG002700,80,WAG002626,45,17,.2014814814814815,77.6980056558267
WAG003070,21,WAG003005,152,16,.23390961480133454,78.10234945414743
WAG002645,132,WAG002561,33,14,.15902067027894845,58.51769941926941
WAG002645,132,WAG002143,76,25,.17507909117054932,96.52695002040308
WAG002143,76,WAG002162,110,23,.1734097513722958,91.08848761977129
WAG002143,76,WAG002172,66,25,.2466977466977467,116.57538965166842
WAG002170,98,WAG002221,106,35,.2371090448013525,148.40500348866541
WAG002561,33,WAG003100,16,5,.1534090909090909,26.827767004242816
WAG002870,63,WAG002996,136,20,.1528775383523987,75.67592104393191
WAG003116,22,WAG002939,33,7,.18030303030303035,37.483494949028064
WAG002305,36,WAG002442,135,17,.1827561327561328,72.891262986872
WAG002205,12,WAG003173,28,5,.1976190476190476,29.412761325834513
WAG002801,63,WAG002143,76,18,.17615112160566707,77.33287611878644
WAG002928,60,WAG002121,90,31,.31173669467787113,151.80754333246932
WAG002994,12,WAG003192,11,6,.39144385026737977,43.29623665253132
WAG003051,160,WAG003280,92,40,.2378999179655455,160.90770503306302
WAG002094,65,WAG002938,9,6,.20392156862745106,33.60435275806805
WAG002425,11,WAG003259,39,5,.1797979797979798,28.185110366860894
WAG002762,267,WAG002310,127,55,.21640768355283024,190.85743573241538
WAG002841,89,WAG003002,114,31,.2138489678599425,127.3677438607267
WAG003078,36,WAG002821,33,14,.2884848484848485,78.8625124334748
WAG002208,40,WAG002221,106,26,.3033333333333333,130.55577585975232
WAG002208,40,WAG002365,49,17,.2738888888888889,89.84511799960501
WAG002208,40,WAG003273,26,11,.24461538461538465,60.29249298011533
WAG002666,40,WAG002607,19,7,.1813765182186235,37.229498252025884
WAG002805,341,WAG002148,25,19,.19580403458213255,76.66188715271574
WAG002844,23,WAG003264,45,22,.5739130434782609,149.75227852643866
WAG002312,35,WAG002441,31,14,.3057071960297767,80.48069424734256
WAG002312,35,WAG002936,19,7,.19283314669652854,38.24753939152808
WAG002380,318,WAG002370,46,46,.3157232704402516,220.10673158530517
WAG002968,50,WAG002186,144,18,.15381818181818185,69.75540497500799
WAG003059,33,WAG003005,152,15,.16149732620320856,61.76121785968167
WAG002672,54,WAG002392,59,24,.30461922596754065,124.10449854596384
