GS_ID,wFC,pFDR,x,y
WAG002048,1.1083,2.2736037119e-30,919.9795100692174,328.64957322147643
WAG002133,0.9769,1.1848908480777e-24,607.2988153350716,220.6211292784625
WAG002134,0.9103,6.0202563994867e-24,704.5956797536401,265.6734987156773
WAG002876,1.2228,7.465232842203899e-23,723.9615015428639,691.8916381588813
WAG003212,0.9089,1.0553421736796001e-21,180.72027761154817,392.9222521670906
WAG003032,1.0197,2.893503120881e-21,446.478213782209,887.4481255155353
WAG002783,0.9831,3.4142664030180997e-19,445.602962105588,452.57865692166126
WAG002483,0.9831,3.4188066508944e-19,636.837443229185,583.9151857391372
WAG002973,0.8775,7.2041610672781e-19,684.7784836831977,89.10379115420129
WAG002628,1.0349,5.3305445123806e-17,200.91656207251023,272.42321426266926
