GS_ID,wFC,pFDR,x,y
WAG002659,1.1057,3.5026082663002e-17,381.9051489154099,468.8697892220821
WAG002805,1.0888,5.2895762075069e-17,971.212790879908,573.7309577817109
WAG003294,0.863,5.3973758997814e-17,532.6732700222202,815.1798522418248
WAG003212,1.0332,7.1522738964249e-17,180.72027761154817,392.9222521670906
WAG002670,0.4177,7.2297506501268e-17,199.0287577392212,658.5332521790469
WAG002896,0.7475,4.7541872425959e-16,489.1004372522712,75.0
WAG002173,0.8778,7.935693018032501e-16,647.8455405386725,833.1772156341692
WAG003196,1.5006,3.4732838210666003e-15,193.3710088299824,853.2550324698648
WAG003238,0.9573,6.8368455263971e-15,925.0,491.6720751482081
WAG002393,1.1276,1.5949237704763e-14,291.2303657619184,379.46222374186
