GS_ID,wFC,pFDR,x,y
WAG002133,1.6183,3.724583775756e-43,607.2988153350716,220.6211292784625
WAG002628,2.0947,3.882608915632299e-43,200.91656207251023,272.42321426266926
WAG002134,1.6776,1.4191638185633998e-41,704.5956797536401,265.6734987156773
WAG003066,2.5782,2.2371187274909e-30,185.8746160452263,133.85128222245885
WAG003212,2.2273,3.9333918015878e-30,180.72027761154817,392.9222521670906
WAG002596,1.7945,2.100706729037e-29,287.372243150818,443.1444847648252
WAG002718,1.6066,2.2833086857094e-27,775.5782854802648,92.99501379982352
WAG003032,2.301,6.165518822446401e-26,446.478213782209,887.4481255155353
WAG002186,1.7709,5.848442913035699e-23,93.56209167251023,282.26266926423214
WAG002879,1.5897,9.1647855684588e-23,70.818373150224,160.4764814244825
