GS_ID,wFC,pFDR
WAG001986,0.9876,0.07591571519896
WAG001987,0.7868,0.0013230389061138
WAG001993,0.6978,0.31876061228426
WAG001996,0.8288,0.0003841077563237
WAG001998,0.8829,0.10672065613271
WAG002002,0.8399,7.0433740459821e-05
WAG002006,1.0215,0.12259384308795
WAG002007,0.8206,0.017438576382781
WAG002014,0.6753,0.062478901760241
WAG002022,0.9059,1.4862363826727e-08
WAG002023,0.8441,1.1261672912847e-11
WAG002027,0.9286,2.25797154439e-06
WAG002030,0.8849,6.9134882615431e-15
WAG002031,0.9118,0.041049427019892
WAG002032,0.9125,0.029774181864511
WAG002036,0.9621,0.23791091043861
WAG002039,0.6424,2.3878905358957e-10
WAG002040,0.6247,0.0008354447601806
WAG002041,1.3835,0.45307254105972
WAG002048,1.1083,2.2736037119e-30
WAG002053,0.8283,3.5844478369021e-09
WAG002057,1.0387,3.5913530118969e-06
WAG002058,1.0808,0.44704513654587
WAG002059,0.9686,0.036553504944738
WAG002061,0.9544,0.0015026656583381
WAG002062,1.0268,0.10475767324673
WAG002063,1.0679,3.5991076360997e-07
WAG002066,0.9424,0.0012888200331669
WAG002067,0.983,3.0498272640877e-15
WAG002068,0.9761,1.0262422652615e-09
WAG002070,1.7463,0.0014000291430899
WAG002075,1.2058,0.18008595607484
WAG002077,1.2083,9.0233427140353e-05
WAG002079,0.9761,5.562572956245e-05
WAG002085,0.8182,0.31491215519604
WAG002087,1.0564,3.3397093518459e-12
WAG002088,0.9083,0.0013974412888512
WAG002090,0.6799,0.30060312060028
WAG002093,0.9274,0.013145700735977
WAG002094,0.9344,0.0017160456433032
WAG002095,1.1631,6.8820452147525e-12
WAG002096,1.0696,0.038482619372684
WAG002102,0.8936,5.4810161283302e-09
WAG002104,1.0398,1.99784693404e-07
WAG002105,0.987,2.619587302487e-09
WAG002107,1.0672,2.2597715197248e-05
WAG002111,0.8793,0.11775006132725
WAG002112,1.128,0.0079858050042706
WAG002118,1.0392,3.2872745055193e-06
WAG002120,0.7598,4.8416331019669e-05
WAG002121,0.8062,0.00041739476939264
WAG002122,1.0446,4.0329322015866e-08
WAG002124,0.7878,0.06076529609859
WAG002125,0.8694,1.3990432221677e-12
WAG002128,1.0339,1.8476020935089e-05
WAG002131,0.9433,4.3038705137223e-15
WAG002132,0.9593,3.9525159057841e-05
WAG002133,0.9769,1.1848908480777e-24
WAG002134,0.9103,6.0202563994867e-24
WAG002135,1.1604,2.8068473152119e-06
WAG002139,0.7896,0.0016525194554219
WAG002142,0.9352,0.0076727494180654
WAG002143,1.0255,2.2766903672825e-06
WAG002145,0.8512,1.4500540992377e-05
WAG002146,1.0024,4.8355333048143e-07
WAG002149,0.9441,0.00010717845622557
WAG002152,1.0669,0.0013673071000177
WAG002153,0.7075,0.44724574158825
WAG002155,0.8739,0.27837028669807
WAG002158,0.8725,0.037756883453383
WAG002161,1.0258,1.9535610166021e-05
WAG002162,0.917,4.5517657476819e-10
WAG002163,0.7916,3.5114524762268e-06
WAG002170,1.0512,3.3956670231742e-07
WAG002171,0.9291,1.4841252514473e-08
WAG002172,1.0099,5.3375846533994e-08
WAG002173,1.0271,0.056755914866929
WAG002177,0.943,2.0214743790853e-05
WAG002179,0.9787,0.00066888172924108
WAG002180,0.539,0.0033931379335243
WAG002181,1.0055,0.034362019881472
WAG002185,1.0471,2.5583643895173e-05
WAG002186,0.97,1.9148803409565e-12
WAG002189,0.6782,0.28963171468079
WAG002193,1.1073,0.17586651823125
WAG002194,0.7522,1.8067431749328e-10
WAG002202,0.8092,0.00010666256878211
WAG002203,0.6999,0.1560633954231
WAG002204,1.0711,2.5426017898348e-06
WAG002205,0.7795,0.29973180720724
WAG002206,0.7313,0.022333519274165
WAG002208,0.9873,0.022284756131645
WAG002209,1.0486,0.07757222659652
WAG002212,0.9388,2.791400069781e-07
WAG002215,1.0627,0.00051238545362197
WAG002216,0.7654,0.026187607707678
WAG002219,0.9308,0.10033211521581
WAG002221,0.9926,7.1213710641613e-13
WAG002227,1.0028,0.00011727376992599
WAG002233,0.8225,2.7650003615385e-11
WAG002234,0.8811,0.023166612996629
WAG002235,0.7002,0.026631586074522
WAG002238,1.0613,0.15564943416203
WAG002239,1.0807,1.5961896025543e-07
WAG002240,1.0894,5.5550355326169e-12
WAG002241,0.7604,0.44560305546024
WAG002243,0.5238,0.10081244242291
WAG002248,0.7497,0.00057715182511588
WAG002253,0.8759,0.0022285709415295
WAG002254,1.3109,3.3608581099609e-07
WAG002257,0.9948,0.0017350619794245
WAG002258,1.0492,0.0026354049211051
WAG002260,0.7412,0.00031924005656368
WAG002267,0.8925,0.11792703401616
WAG002274,1.0056,0.18078473309941
WAG002275,1.0106,7.0788005304611e-05
WAG002278,1.0844,9.7200899141106e-05
WAG002280,1.0406,0.0002775662074814
WAG002281,1.0969,0.017624729003031
WAG002282,0.925,0.013817351598014
WAG002284,0.7748,0.02894363266123
WAG002290,1.1173,0.00043958514049583
WAG002291,1.0183,1.4749240939098e-06
WAG002292,3.0145,0.028900130424877
WAG002296,1.1882,4.8337348424205e-05
WAG002297,0.9265,0.049236590665375
WAG002298,0.8582,8.3748300945427e-05
WAG002299,0.6645,0.45150682522729
WAG002300,1.0931,0.0014850579235456
WAG002301,1.0375,0.00027274475623388
WAG002302,0.953,0.0003417592969239
WAG002304,0.9799,0.0090285517472015
WAG002305,0.7517,0.006457101999741
WAG002306,0.8519,0.00085638990848606
WAG002308,1.073,0.0044009306291103
WAG002309,0.894,1.4436826514672e-09
WAG002310,1.0545,0.00032936469445438
