GS_ID,wFC,pFDR
WAG002030,1.6372,2.0164693408054e-12
WAG002031,1.4417,0.026739713438708
WAG002032,1.0971,0.0009189095731278
WAG002096,1.7857,2.0167016728675e-05
WAG002097,1.5674,0.022740819913023
WAG002100,1.2065,0.49521524220402
WAG002102,1.4701,5.1471013556569e-06
WAG002152,1.0107,0.051465541566216
WAG002248,1.0252,1.8703252766491e-06
WAG002253,1.5572,2.5595361995314e-11
WAG002481,1.2333,0.00057425030257845
WAG002483,1.5567,1.6571120300866e-28
WAG002484,1.3423,2.2830572491894e-07
WAG002581,1.9409,0.017663505285559
WAG002584,1.1068,0.028249980945846
WAG002689,1.2663,0.0070836287387935
WAG002692,1.3055,0.29121010528423
WAG002694,1.4058,0.0020871584947038
WAG002696,1.5526,0.00057340952614715
WAG002700,1.3376,1.588674976479e-09
WAG002778,2.228,0.25112561521431
WAG002781,1.3343,6.7942746120743e-13
WAG002877,1.3678,3.1945059010437e-05
WAG002879,1.3989,1.3579502994622e-15
WAG003018,0.6155,0.48359423149698
WAG003019,1.7635,0.24073605246963
WAG003022,1.4334,0.439298489444
WAG003024,0.8137,0.15575368908213
WAG003026,1.3676,0.00028959848077324
WAG002033,1.3411,0.023751308121587
WAG002034,1.0687,0.00021846975814593
WAG002036,1.317,0.012682267039282
WAG002103,1.9023,0.0001192921089662
WAG002153,0.8982,0.091674409351141
WAG002155,1.1545,0.15993366339361
WAG002158,0.9756,0.010079451332389
WAG002254,1.2424,0.0018039874676895
WAG002257,1.3555,2.6505786303568e-10
WAG002391,1.2595,0.00080223657066691
WAG002392,1.1238,0.00042268050495237
WAG002393,1.4029,1.3537755026713e-13
WAG002486,1.0968,0.16243284808704
WAG002585,1.3942,0.00049692549841784
WAG002587,1.705,2.523723337713e-07
WAG002589,1.9763,0.076705724734662
WAG002702,1.181,0.0034335579790541
WAG002703,1.4056,5.7436856901203e-05
WAG002783,1.5567,1.655330189194e-28
WAG002882,1.1883,1.8273853820026e-10
WAG003027,1.2727,1.7698224458002e-07
WAG003029,0.9576,0.0031057651316828
WAG003030,1.3278,8.0214328757373e-07
WAG003031,0.9711,9.0010552019082e-11
WAG002039,1.0672,1.9627758062807e-08
WAG002041,2.3613,0.288125759248
WAG002104,1.5603,7.1200323502576e-07
WAG002105,1.5202,2.0141959819094e-12
WAG002161,1.2677,2.6971721669859e-06
WAG002162,1.3453,2.5225066369623e-06
WAG002163,2.8028,2.6629974122218e-11
WAG002258,2.2967,7.0375985349989e-05
WAG002260,1.4538,0.0013633046996819
WAG002261,0.7997,0.14988649273594
WAG002263,1.1524,0.031818074922054
WAG002395,1.4028,0.043130292825688
WAG002396,1.4923,3.2033125128465e-06
WAG002399,1.5341,1.5003451047826e-05
WAG002400,0.4711,0.012604449834095
WAG002404,1.1353,0.013218123909901
WAG002490,1.5402,4.2808134979108e-06
WAG002493,1.2605,0.28742980330778
WAG002592,1.4707,0.048032076068825
WAG002712,1.3788,0.36335580559225
WAG002714,1.1392,0.0047387729460657
WAG002717,1.4257,9.496135317396e-11
WAG002786,1.094,0.037793496807015
WAG002889,1.5155,8.1009210706172e-09
WAG002890,1.0175,0.25160666533078
WAG003032,1.3415,1.9592673746776e-20
WAG002045,1.3653,0.047291837009148
WAG002107,1.4419,1.1174639575446e-10
WAG002164,1.3976,0.0026114998413748
WAG002170,1.1479,6.7824073714297e-10
WAG002171,1.0931,4.6313781558416e-13
WAG002267,1.2741,0.010227951085945
WAG002268,1.3319,0.024669560052414
WAG002409,1.3663,0.0015465703949798
WAG002412,1.5552,5.1817526040864e-08
WAG002496,0.9949,0.00047729989354504
WAG002498,1.5793,2.828451958303e-06
WAG002499,1.5022,0.034073680571543
WAG002500,1.4479,2.8990392817305e-13
WAG002596,1.2359,4.0354924710064e-14
WAG002718,1.163,4.1086773578637e-22
WAG002789,2.2943,6.5133412850785e-06
WAG002791,1.6176,0.066204097338821
WAG002792,0.758,0.00011690748101549
WAG002793,0.9398,0.24130116057402
WAG002797,1.9072,7.5061813487489e-05
WAG003033,1.8884,0.17195316293458
WAG002048,1.1786,5.2550722429754e-35
WAG002111,0.8964,0.17692918118334
WAG002112,1.6055,0.04069886378161
WAG002172,1.3097,1.753211632551e-08
WAG002173,1.1708,3.1737539662267e-07
WAG002174,1.1459,0.48364037571157
WAG002274,1.1301,0.076860999481089
WAG002275,1.3128,0.0064659852510736
WAG002276,1.5056,0.020211125746283
WAG002331,1.1733,0.49815185358809
WAG002413,1.3252,0.12226819192924
WAG002414,1.4901,1.747359737619e-08
WAG002415,1.4499,0.0017680549473934
WAG002502,0.8778,0.058476797566058
WAG002601,1.1543,0.0008590919787252
WAG002719,1.4964,0.0061602470209641
WAG002798,1.0545,0.091485778879225
WAG002801,1.1346,2.0140340780622e-05
WAG002804,2.2261,0.015767913100745
WAG002895,1.7628,0.015766867792478
WAG003036,1.3016,0.28603789142736
WAG003038,0.8493,0.0070602621672078
WAG003040,0.9644,0.031700881275932
WAG002050,1.4302,0.007095298637869
WAG002118,1.1754,3.5558086953846e-10
WAG002119,1.3661,0.37102574979147
WAG002120,1.0632,0.17188002807224
WAG002177,1.1405,5.2269486116883e-05
WAG002178,1.6942,1.3958891591217e-09
WAG002278,1.4462,8.4259672497616e-09
WAG002280,1.0613,0.016019834555785
WAG003103,1.2566,3.2475607384422e-06
WAG003105,1.6542,0.092307018937279
WAG003106,0.9646,0.18481531347311
WAG003107,1.0406,0.1697056996631
WAG003110,1.1572,9.8053934458566e-12
WAG003195,1.1433,0.0022082110228494
WAG003196,0.8829,0.023889666000453
WAG003202,0.7625,0.1586062937956
WAG003295,1.4668,1.2028777369542e-06
WAG003296,1.1235,1.2086466950022e-06
WAG003297,1.1056,1.1932004576359e-08
WAG003300,1.3881,0.03152509080675
WAG003301,1.4728,0.091108517935393
WAG003203,0.9651,0.016027782592116
WAG003204,0.6665,0.051457648103775
WAG003210,1.0921,1.0226910316979e-06
WAG003305,0.7914,4.3116795086282e-09
WAG003306,1.2231,0.047771606715905
WAG003308,1.0126,0.21360230660545
WAG003212,1.2251,2.0356584465149e-27
WAG003213,0.1613,0.0070602889406427
WAG003215,1.2145,7.0810822068687e-08
WAG003218,1.6417,0.02462519034009
WAG003219,0.9512,1.3299494845665e-06
WAG003223,0.961,2.3722867813976e-06
WAG003224,1.524,5.1821656330947e-05
WAG003236,0.5565,0.00086170775938426
WAG003237,1.2528,0.00022680093965869
WAG003238,0.8627,1.3183514701057e-12
WAG003113,1.1773,0.21351435828053
WAG003114,1.2562,0.12148775666161
WAG003116,0.5473,0.0013210375641067
WAG003118,0.8768,0.00035737606485787
WAG003245,0.6652,0.015740538251612
WAG003122,0.5918,0.0054533667677258
WAG003123,1.2988,0.00025611887647351
WAG003247,1.3524,7.989724202239e-24
WAG003129,1.3327,9.3558058504655e-05
WAG003134,0.91,0.00011030509259733
WAG003141,1.5592,0.028968033675556
WAG003248,0.7381,0.0066430566174517
WAG003261,1.3942,0.10875342131638
WAG003262,0.2444,0.48232161509831
WAG003263,1.0382,0.00029932228524912
WAG003145,1.275,0.0092415133966043
WAG003147,1.1068,0.00061272791114887
WAG003150,0.5719,0.32671191762417
WAG003265,1.6665,2.9162073687261e-08
WAG003266,1.0153,0.32589717468745
WAG003269,1.2007,0.019866632451282
WAG003270,1.0069,0.091804261837471
WAG003151,1.8597,0.047938263420253
WAG003153,1.2807,0.00066253703386362
WAG003160,2.7635,0.0010072717293757
WAG003273,1.0446,0.21420480989354
WAG003274,1.2099,7.419235269071e-05
WAG003275,1.1317,0.0038015320061332
WAG003276,1.135,4.1664191121665e-10
WAG003161,1.7215,0.047864728756287
WAG003165,1.6136,0.00123880411382
WAG003166,1.0667,0.31725635919259
WAG003167,1.0086,0.012582792703796
WAG003169,1.2579,0.00047660614369977
WAG003280,1.3049,0.00045829840327624
WAG003283,1.2047,1.5893549170608e-09
WAG003170,1.3728,0.00011755105994603
WAG003171,1.402,0.023158715013418
WAG003172,1.2905,2.6065093897726e-05
WAG003173,0.7635,0.10321837596594
WAG003185,0.9432,0.49629030813613
WAG003186,0.7544,7.5041759650939e-10
WAG003294,1.4088,6.6262488124062e-22
