GS_ID,wFC,pFDR
WAG001977,1.6527,0.013471940970996
WAG001990,0.6902,0.026949678161491
WAG002037,0.6655,0.089195765350495
WAG002054,2.902,3.1538683414536e-07
WAG002076,0.7584,0.063430855321452
WAG002119,1.5072,0.038628566697476
WAG002152,0.7907,1.331225558963e-10
WAG002165,0.13,0.026973873149241
WAG002173,1.0126,1.6433617561457e-10
WAG002186,0.8467,8.3083827785638e-10
WAG002190,0.764,1.9082065113388e-14
WAG002241,0.8562,0.00042049611712951
WAG002245,1.0433,2.8396421544675e-05
WAG002254,0.9727,0.00078885452925416
WAG002258,0.8059,0.08584477321632
WAG002267,1.6344,7.3068351000704e-07
WAG002284,4.2723,8.6794853244074e-06
WAG002340,2.7495,8.2763806872797e-10
WAG002343,0.8813,0.00034031611862383
WAG002345,1.1802,1.5137646151128e-08
WAG002355,0.7582,0.00017789559157894
WAG002358,1.0776,0.00021159503799492
WAG002359,0.7743,1.3340797646088e-08
WAG002361,0.3904,0.0086467227043803
WAG002366,1.0715,0.00010295379105568
WAG002367,1.5982,0.051084010040509
WAG002380,0.9162,7.288762952804e-13
WAG002386,3.2742,0.00078269160324436
WAG002391,0.9731,0.038199360400837
WAG002393,1.2115,6.1416644985751e-15
WAG002400,1.3939,0.015941926885569
WAG002405,1.064,0.27660117513902
WAG002406,1.3978,0.42073589854875
WAG002452,0.0,0.00065906635409946
WAG002477,1.294,3.0041582002643e-06
WAG002517,0.8395,2.3757180625079e-10
WAG002518,0.7962,0.041398466685756
WAG002532,1.0056,0.00032581930370422
WAG002536,0.9068,0.00040610561918705
WAG002537,1.6501,6.1377762078298e-08
WAG002545,0.7661,9.8559984386227e-07
WAG002548,0.9759,0.00019498930714505
WAG002553,0.9269,0.013746842646257
WAG002560,0.6503,0.41416190013393
WAG002562,1.8297,0.00079267304165271
WAG002577,1.0937,0.13746874773707
WAG002588,1.8258,0.00012410780051004
WAG002610,0.9617,0.0025437399823668
WAG002614,0.8031,0.27264972977989
WAG002616,1.2684,0.084784961201304
WAG002624,0.9675,0.16638390824556
WAG002639,1.5089,0.027923976419693
WAG002646,1.5072,0.037770154104199
WAG002659,1.2038,2.0741002606967e-18
WAG002666,1.0299,0.00021088549068787
WAG002670,0.5241,2.4958583524284e-12
WAG002671,0.4669,0.0088788705219234
WAG002674,0.674,0.26869828442077
WAG002677,1.5116,0.21718244638152
WAG002680,2.3539,0.083725149186288
WAG002696,0.8437,2.904082641252e-06
WAG002729,0.9567,1.7882712782057e-05
WAG002732,1.4099,2.0359123506774e-08
WAG002742,0.8612,0.0021331807795274
WAG002753,4.4984,0.00026726360159425
WAG002771,2.6698,5.2909850622114e-09
WAG002789,0.7228,7.3353043306116e-09
WAG002795,0.8662,0.40758790171911
WAG002797,0.7217,0.00033791952623915
WAG002798,1.2647,0.0013082456675587
WAG002804,0.8763,7.8735200056683e-08
WAG002805,1.1567,1.7894172543762e-18
WAG002808,1.8374,0.1642634565669
WAG002813,1.9482,0.0065575687958551
WAG002818,1.3383,0.019849696355323
WAG002858,1.0818,0.00052868470566039
WAG002860,0.5693,3.0225806567997e-10
WAG002874,0.9694,3.2651997948554e-06
WAG002877,0.934,0.041656248105469
WAG002906,0.3132,0.13565994842474
WAG002925,0.7798,5.477843783556e-09
WAG002928,0.9293,7.5588504719627e-05
WAG002931,3.102,0.0028370890760458
WAG002933,0.8897,0.0087995948922634
WAG002938,0.8934,0.40101390330428
WAG002939,0.8414,0.010617124431133
WAG002946,0.5897,0.0087203192626034
WAG002960,2.264,0.00099452157893576
WAG002969,0.8307,3.0060003167147e-09
WAG002970,0.9512,2.1538705622923e-09
WAG003013,2.0309,0.049974987640576
WAG003014,1.3373,0.015784086025316
WAG003024,1.2979,1.0020183355147e-08
WAG003031,1.2891,5.500993573894e-13
WAG003035,0.688,0.0048714378030836
WAG003036,0.9484,0.01716591879257
WAG003039,0.3346,0.0028130459482827
WAG003044,1.3293,0.034562382805397
WAG003049,0.9599,3.3723974414469e-08
WAG003050,1.2979,9.9622632201459e-09
WAG003056,1.3464,0.0005304535432139
WAG003057,0.8674,0.0051958812932283
WAG003063,1.5506,4.3180240561918e-13
WAG003076,0.7128,0.0016595118623041
WAG003077,0.6989,0.21416602351511
WAG003080,1.2422,0.010516962879896
WAG003083,0.4696,0.03734094780756
WAG003096,1.4458,0.00040318399602743
WAG003106,0.7816,0.00076407156394884
WAG003116,0.9643,0.034186704731426
WAG003122,0.8657,0.00036609040642624
WAG003125,2.7489,0.49221696922972
WAG003134,0.6857,0.0001636702395938
WAG003141,1.0412,0.0086410436329434
WAG003150,0.871,0.00075540703242581
WAG003155,0.6752,0.0085666604571175
WAG003160,0.7505,0.0014102891763925
WAG003165,0.8842,0.026847682070126
WAG003176,0.6603,0.39443990488946
WAG003177,34.0267,0.30354245993206
WAG003178,0.3966,0.41247656826256
WAG003186,1.0082,8.6248973663922e-06
WAG003195,0.8074,7.5100836947242e-05
WAG003196,2.118,2.0046946712695e-13
WAG003197,1.3823,0.082665337171271
WAG003202,0.9001,0.010747825264346
WAG003204,0.7736,0.00022715232199891
WAG003210,0.7845,7.0004845010243e-11
WAG003212,1.0516,3.2316152775076e-21
WAG003213,0.7752,0.00023515343953194
WAG003218,0.7906,0.0016312783509249
WAG003219,0.768,1.4770605504655e-12
WAG003236,0.9396,0.0012977797022182
WAG003238,1.2133,1.5192462655363e-13
WAG003262,0.5485,0.026570901842599
WAG003266,1.3629,0.00074968425187713
WAG003267,0.5143,0.26474683906164
WAG003277,2.2013,0.004233661957086
WAG003294,0.795,8.9293519526635e-19
WAG003308,1.1775,0.00065436714750499
