GS_ID,wFC,pFDR
WAG001976,1.3186,0.006330849519912
WAG001977,1.608,0.075829574006281
WAG002000,2.0673,2.9600650651189e-05
WAG002011,1.0627,0.24033054989274
WAG002018,1.7749,0.08446820114131
WAG002022,1.8073,1.185334792782e-05
WAG002027,1.4103,7.1992794611622e-07
WAG002031,1.8658,9.2749669225323e-08
WAG002032,2.1796,1.8304717777079e-09
WAG002035,3.5533,0.00020933725494319
WAG002036,1.2942,0.00020450902549276
WAG002050,1.2767,0.096401491585452
WAG002054,1.8235,6.3088723759641e-07
WAG002055,2.2622,2.4493402324964e-09
WAG002061,1.5252,6.2443874534864e-09
WAG002063,1.6863,1.885570998373e-10
WAG002090,1.3076,0.42092507884419
WAG002093,3.7075,2.1241612610705e-18
WAG002096,1.571,1.4672889391347e-06
WAG002097,1.1794,0.078942860916356
WAG002099,1.3462,0.00040046275415153
WAG002102,1.2594,4.012416361213e-09
WAG002104,1.4142,1.0843795052544e-10
WAG002112,1.1828,3.2361593398847e-10
WAG002115,1.5008,0.28967430727085
WAG002117,1.5828,0.28694153078716
WAG002118,1.4508,0.0010316879707609
WAG002121,1.2186,2.9499968165981e-05
WAG002128,1.7096,0.00031303212290561
WAG002131,1.5334,1.6784932753282e-14
WAG002132,1.5902,6.9921721972044e-11
WAG002133,1.5115,4.4499026110865e-22
WAG002134,1.568,5.9053732214891e-20
WAG002139,1.3122,0.0046111604477
WAG002145,1.4865,0.0068631202197077
WAG002147,1.126,0.0034407765973265
WAG002155,2.1813,5.769993046768e-06
WAG002164,1.4738,0.00026510992082196
WAG002165,3.2536,0.0089745782811731
WAG002168,1.2821,0.41639900272758
WAG002171,1.5212,2.4925794067545e-06
WAG002173,2.3578,4.5902885882049e-19
WAG002179,1.5326,5.0875230297509e-07
WAG002186,1.3114,1.0318098425796e-12
WAG002190,2.0056,1.0549097026188e-10
WAG002193,1.4895,0.095754501709039
WAG002194,1.4207,0.00012598733152452
WAG002202,1.8814,0.023195022972598
WAG002205,1.889,0.075346583089043
WAG002208,1.324,0.004378595449775
WAG002212,1.7571,8.7018785545624e-05
WAG002215,1.3284,0.10330932366499
WAG002216,2.0494,1.0944101710696e-08
WAG002219,1.5927,0.00066327871146374
WAG002226,1.1445,0.0055067246513835
WAG002227,1.4695,0.0042544744698799
WAG002236,1.5789,0.031473586737229
WAG002244,2.7929,0.00023348518690427
WAG002253,1.4114,1.0444155370684e-08
WAG002254,1.0914,0.015416534528413
WAG002258,0.9145,0.35827844454872
WAG002263,1.4313,0.095107511832627
WAG002267,3.2866,7.5153469356717e-11
WAG002270,1.9932,0.0043677874087169
WAG002273,1.1944,0.016876672516587
WAG002278,1.3082,3.1785089987653e-07
WAG002282,1.1055,0.0051972552219319
WAG002283,1.3783,0.074863592171806
WAG002284,4.4867,1.1219966136133e-07
WAG002296,1.2405,0.0013251450250273
WAG002298,1.4774,8.2020367730819e-11
WAG002299,2.7087,0.10301244100356
WAG002306,1.2285,0.12252455702711
WAG002312,1.5839,0.034299651227025
WAG002317,1.5776,0.013885282700629
WAG002322,2.8871,3.9209149817424e-10
WAG002328,1.2262,0.0063327595024054
WAG002329,3.2816,0.00017578818696241
WAG002331,3.4391,0.00031586794270081
WAG002339,3.4336,0.012639816076623
WAG002340,4.1533,1.4497167804257e-16
WAG002345,3.0823,4.8875982289302e-12
WAG002347,4.5822,0.001046223333531
